QSPY 6.9.2 Copyright (c) 2005-2020 Quantum Leaps
Documentation: https://www.state-machine.com/qtools/qspy.html
Current timestamp: 210823_160510
           TE0-ADis Obj=Philo::inst[3].m_timeEvt,AO=Philo::inst[3]
3365472600 TE0-Post Obj=Philo::inst[3].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[3]
3365472623 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[3],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3365473108 AO-GetL  Obj=Philo::inst[3],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3365473131 Disp===> Obj=Philo::inst[3],Sig=TIMEOUT_SIG,State=Philo::eating
3365473160 MP-Get   Obj=EvtPool1,Free=9,Min=7
3365473175 QF-New   Sig=DONE_SIG,Size=6
3365473189 QF-Pub   Sdr=Philo::inst[3],Evt<Sig=DONE_SIG,Pool=1,Ref=0>
3365473208 AO-Post  Sdr=Philo::inst[3],Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=2>,Que<Free=5,Min=5>
3365473226 QF-gcA   Evt<Sig=DONE_SIG,Pool=1,Ref=2>
3365473241 TE0-DisA Obj=Philo::inst[3].m_timeEvt,AO=Philo::inst[3]
===RTC===> St-Exit  Obj=Philo::inst[3],State=Philo::eating
3365473255 TE0-Arm  Obj=Philo::inst[3].m_timeEvt,AO=Philo::inst[3],Tim=94,Int=0
===RTC===> St-Entry Obj=Philo::inst[3],State=Philo::thinking
3365473274 ===>Tran Obj=Philo::inst[3],Sig=TIMEOUT_SIG,State=Philo::eating->Philo::thinking
3365473288 AO-GetL  Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3365473302 Disp===> Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3365473555 PHILO_STAT 3 thinking
3365473574 MP-Get   Obj=EvtPool1,Free=8,Min=7
3365473588 QF-New   Sig=EAT_SIG,Size=6
3365473603 QF-Pub   Sdr=Table::inst,Evt<Sig=EAT_SIG,Pool=1,Ref=0>
3365473617 AO-Post  Sdr=Table::inst,Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=2>,Que<Free=5,Min=4>
3365473626 AO-Post  Sdr=Table::inst,Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=3>,Que<Free=5,Min=4>
3365473645 AO-Post  Sdr=Table::inst,Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=4>,Que<Free=5,Min=4>
3365473675 AO-Post  Sdr=Table::inst,Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=5>,Que<Free=5,Min=4>
3365473698 AO-Post  Sdr=Table::inst,Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=6>,Que<Free=5,Min=4>
3365473728 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=6>
3365473761 PHILO_STAT 4 eating  
3365473775 =>Intern Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3365473794 QF-gc    Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3365473808 MP-Put   Obj=EvtPool1,Free=9
3365473823 AO-GetL  Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3365473837 Disp===> Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::hungry
3365473861 TE0-Arm  Obj=Philo::inst[4].m_timeEvt,AO=Philo::inst[4],Tim=107,Int=0
===RTC===> St-Entry Obj=Philo::inst[4],State=Philo::eating
3365473879 ===>Tran Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::hungry->Philo::eating
3365473894 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3365473913 AO-GetL  Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3365473932 Disp===> Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::thinking
3365473955 =>Intern Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::thinking
3365473975 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3365473989 AO-GetL  Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3365474008 Disp===> Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::hungry
===RTC===> St-Unhnd Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::hungry
3365474028 =>Ignore Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::hungry
3365474043 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3365474057 AO-GetL  Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3365474071 Disp===> Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::eating
3365474090 =>Intern Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::eating
3365474113 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3365474142 AO-GetL  Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3365474156 Disp===> Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
===RTC===> St-Unhnd Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
3365474185 =>Ignore Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
3365474209 QF-gc    Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3365474242 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[1].m_timeEvt,AO=Philo::inst[1]
3371335915 TE0-Post Obj=Philo::inst[1].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[1]
3371335943 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[1],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3371336251 AO-GetL  Obj=Philo::inst[1],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3371336279 Disp===> Obj=Philo::inst[1],Sig=TIMEOUT_SIG,State=Philo::eating
3371336312 MP-Get   Obj=EvtPool1,Free=9,Min=7
3371336331 QF-New   Sig=DONE_SIG,Size=6
3371336350 QF-Pub   Sdr=Philo::inst[1],Evt<Sig=DONE_SIG,Pool=1,Ref=0>
3371336374 AO-Post  Sdr=Philo::inst[1],Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=2>,Que<Free=5,Min=5>
